timestamp,machine_id,power_kw
2026-01-01T08:00:19Z,CNC_01,0.4775
2026-01-01T08:00:20Z,CNC_01,0.6788
2026-01-01T08:00:21Z,CNC_01,0.6592
2026-01-01T08:00:22Z,CNC_01,0.7074
2026-01-01T08:00:23Z,CNC_01,0.7746
2026-01-01T08:00:24Z,CNC_01,0.8765
2026-01-01T08:00:25Z,CNC_01,1.0292
2026-01-01T08:00:26Z,CNC_01,0.9781
2026-01-01T08:00:27Z,CNC_01,1.3252
2026-01-01T08:00:28Z,CNC_01,1.6174
2026-01-01T08:00:29Z,CNC_01,1.8577
2026-01-01T08:00:30Z,CNC_01,2.1687
2026-01-01T08:00:31Z,CNC_01,2.3740
2026-01-01T08:00:32Z,CNC_01,2.6565
2026-01-01T08:00:33Z,CNC_01,2.9629
2026-01-01T08:00:34Z,CNC_01,3.3217
2026-01-01T08:00:35Z,CNC_01,3.2273
2026-01-01T08:00:36Z,CNC_01,3.2940
2026-01-01T08:00:37Z,CNC_01,3.3725
2026-01-01T08:00:38Z,CNC_01,3.3162
2026-01-01T08:00:39Z,CNC_01,3.2068
2026-01-01T08:00:40Z,CNC_01,3.2011
2026-01-01T08:00:41Z,CNC_01,3.1507
2026-01-01T08:00:42Z,CNC_01,3.1130
2026-01-01T08:00:43Z,CNC_01,3.2507
2026-01-01T08:00:44Z,CNC_01,3.3277
2026-01-01T08:00:45Z,CNC_01,3.4189
2026-01-01T08:00:46Z,CNC_01,3.3604
2026-01-01T08:00:47Z,CNC_01,3.2049
2026-01-01T08:00:48Z,CNC_01,3.2308
2026-01-01T08:00:49Z,CNC_01,3.0577
2026-01-01T08:00:50Z,CNC_01,3.1409
2026-01-01T08:00:51Z,CNC_01,3.2800
2026-01-01T08:00:52Z,CNC_01,3.2680
2026-01-01T08:00:53Z,CNC_01,3.3571
2026-01-01T08:00:54Z,CNC_01,3.2500
2026-01-01T08:00:55Z,CNC_01,3.2658
2026-01-01T08:00:56Z,CNC_01,3.1963
2026-01-01T08:00:57Z,CNC_01,3.1305
2026-01-01T08:00:58Z,CNC_01,3.2141
2026-01-01T08:00:59Z,CNC_01,3.2090
2026-01-01T08:01:00Z,CNC_01,3.3549
2026-01-01T08:01:01Z,CNC_01,3.3739
2026-01-01T08:01:02Z,CNC_01,3.3365
2026-01-01T08:01:03Z,CNC_01,3.1638
2026-01-01T08:01:04Z,CNC_01,3.0126
2026-01-01T08:01:05Z,CNC_01,2.8168
2026-01-01T08:01:06Z,CNC_01,2.5290
2026-01-01T08:01:07Z,CNC_01,2.3468
2026-01-01T08:01:08Z,CNC_01,2.0377
2026-01-01T08:01:09Z,CNC_01,1.9276
2026-01-01T08:01:10Z,CNC_01,1.7064
2026-01-01T08:01:11Z,CNC_01,1.5492
2026-01-01T08:01:12Z,CNC_01,1.3092
2026-01-01T08:01:13Z,CNC_01,1.0107
2026-01-01T08:01:14Z,CNC_01,0.8143
2026-01-01T08:01:15Z,CNC_01,0.6470
