timestamp,machine_id,power_kw
2026-01-01T08:02:47Z,CNC_01,0.5990
2026-01-01T08:02:48Z,CNC_01,0.6737
2026-01-01T08:02:49Z,CNC_01,0.7338
2026-01-01T08:02:50Z,CNC_01,0.7245
2026-01-01T08:02:51Z,CNC_01,0.8437
2026-01-01T08:02:52Z,CNC_01,0.8905
2026-01-01T08:02:53Z,CNC_01,0.9110
2026-01-01T08:02:54Z,CNC_01,0.9982
2026-01-01T08:02:55Z,CNC_01,1.3479
2026-01-01T08:02:56Z,CNC_01,1.6540
2026-01-01T08:02:57Z,CNC_01,2.0327
2026-01-01T08:02:58Z,CNC_01,2.3844
2026-01-01T08:02:59Z,CNC_01,2.6123
2026-01-01T08:03:00Z,CNC_01,3.0000
2026-01-01T08:03:01Z,CNC_01,3.3176
2026-01-01T08:03:02Z,CNC_01,3.6217
2026-01-01T08:03:03Z,CNC_01,3.4502
2026-01-01T08:03:04Z,CNC_01,3.5028
2026-01-01T08:03:05Z,CNC_01,3.5171
2026-01-01T08:03:06Z,CNC_01,3.4552
2026-01-01T08:03:07Z,CNC_01,3.3636
2026-01-01T08:03:08Z,CNC_01,3.3584
2026-01-01T08:03:09Z,CNC_01,3.3946
2026-01-01T08:03:10Z,CNC_01,3.4462
2026-01-01T08:03:11Z,CNC_01,3.4818
2026-01-01T08:03:12Z,CNC_01,3.5784
2026-01-01T08:03:13Z,CNC_01,3.6045
2026-01-01T08:03:14Z,CNC_01,3.4250
2026-01-01T08:03:15Z,CNC_01,3.4237
2026-01-01T08:03:16Z,CNC_01,3.3985
2026-01-01T08:03:17Z,CNC_01,3.3807
2026-01-01T08:03:18Z,CNC_01,3.4444
2026-01-01T08:03:19Z,CNC_01,3.4942
2026-01-01T08:03:20Z,CNC_01,3.5074
2026-01-01T08:03:21Z,CNC_01,3.5971
2026-01-01T08:03:22Z,CNC_01,3.4517
2026-01-01T08:03:23Z,CNC_01,3.4338
2026-01-01T08:03:24Z,CNC_01,3.4041
2026-01-01T08:03:25Z,CNC_01,3.3253
2026-01-01T08:03:26Z,CNC_01,3.4018
2026-01-01T08:03:27Z,CNC_01,3.5811
2026-01-01T08:03:28Z,CNC_01,3.5983
2026-01-01T08:03:29Z,CNC_01,3.4910
2026-01-01T08:03:30Z,CNC_01,3.3617
2026-01-01T08:03:31Z,CNC_01,3.1321
2026-01-01T08:03:32Z,CNC_01,3.0193
2026-01-01T08:03:33Z,CNC_01,2.7701
2026-01-01T08:03:34Z,CNC_01,2.4310
2026-01-01T08:03:35Z,CNC_01,2.3064
2026-01-01T08:03:36Z,CNC_01,2.0975
2026-01-01T08:03:37Z,CNC_01,1.8124
2026-01-01T08:03:38Z,CNC_01,1.5299
2026-01-01T08:03:39Z,CNC_01,1.3281
2026-01-01T08:03:40Z,CNC_01,1.0279
2026-01-01T08:03:41Z,CNC_01,0.7757
2026-01-01T08:03:42Z,CNC_01,0.6953
